xShift,crossingAngle,axialRotation,zShift,energy
9.3,22.0,-63.3333,4.1,-4.044372
8.7,24.0,-101.667,5.125,-4.147235
9.3,22.0,-115.0,5.775,7.479086
8.5,20.0,-105.0,4.275,0.851459
9.5,24.0,-91.6667,3.625,-0.009185
8.5,20.0,-55.0,3.525,-7.367332
9.5,26.0,-20.0,1.65,4.144059
9.1,22.0,-110.0,3.0,-4.794043
8.7,24.0,-10.0,1.5,-9.867964
9.3,24.0,-113.333,3.5,-3.818628
9.1,22.0,-6.66667,1.0,-7.149725
8.7,18.0,-105.0,6.975,-0.502979
9.1,22.0,-50.0,4.8,-5.669559
8.9,20.0,-60.0,6.3,9.063008
9.3,24.0,-43.3333,3.8,0.698524
9.3,28.0,-100.0,5.55,-4.477317
9.3,24.0,-18.3333,2.075,8.385568
9.3,18.0,-106.667,6.55,-3.098942
8.9,20.0,-10.0,0.15,-8.901267
9.5,18.0,-41.6667,1.525,3.180509
9.5,28.0,-91.6667,2.275,4.704551
8.9,22.0,-56.6667,4.45,-8.245999
9.1,22.0,-10.0,0.15,-7.396047
9.5,20.0,-86.6667,4.9,4.746956
9.5,28.0,-60.0,0.9,-4.353441
9.3,18.0,-13.3333,2.0,-6.804438
9.3,22.0,-18.3333,2.075,2.857375
9.1,26.0,-58.3333,5.375,-4.162653
8.5,24.0,-10.0,1.5,-10.752999
9.3,26.0,-100.0,4.2,-4.247977
9.1,22.0,-65.0,2.325,-6.278577
9.5,22.0,-63.3333,1.4,-4.658446
8.7,18.0,-101.667,6.475,-5.501785
9.3,26.0,-116.667,5.35,7.536012
8.9,28.0,-95.0,5.475,2.07586
8.5,18.0,-60.0,4.95,-4.825762
8.9,18.0,-101.667,5.125,-4.852649
9.5,24.0,-56.6667,1.75,-4.535412
9.3,26.0,-101.667,2.425,-2.936047
9.3,28.0,-63.3333,2.75,-5.001261
8.5,26.0,-60.0,3.6,-7.346208
9.1,18.0,-56.6667,5.8,-6.756891
9.5,24.0,-38.3333,5.075,-0.345055
8.9,24.0,-60.0,4.95,-2.670269
9.1,28.0,-70.0,1.05,-3.221267
9.3,24.0,-46.6667,1.6,-0.313495
9.5,26.0,-90.0,5.4,-2.118211
9.5,26.0,-58.3333,1.325,-4.451823
8.9,20.0,-98.3333,4.625,9.547662
8.9,18.0,-55.0,4.875,-8.734241
9.3,28.0,-58.3333,2.675,-5.234138
8.9,28.0,-96.6667,6.4,-3.5092
9.1,20.0,-105.0,2.925,-4.01136
9.5,20.0,-46.6667,4.3,-4.324966
9.3,24.0,-111.667,5.275,-3.406569
9.5,28.0,-95.0,2.775,-1.208135
8.9,20.0,-63.3333,1.4,-8.678155
9.1,18.0,-61.6667,4.525,-5.666185
9.5,24.0,-106.667,6.55,-2.65599
8.7,28.0,-15.0,0.225,-1.459167
8.7,24.0,-51.6667,5.725,-8.11852
9.1,18.0,-100.0,6.9,-4.135703
8.5,26.0,-105.0,4.275,3.578556
9.5,22.0,-93.3333,1.85,3.146815
9.5,20.0,-61.6667,5.875,-2.97876
9.1,20.0,-105.0,4.275,-4.65497
8.7,28.0,-105.0,4.275,-5.365543
9.5,24.0,-55.0,0.825,-4.437473
8.5,22.0,-106.667,2.5,8.052528
9.5,18.0,-111.667,3.925,-2.543363
8.9,28.0,-55.0,3.525,-4.892592
9.5,22.0,-46.6667,5.65,-4.387968
9.3,26.0,-48.3333,3.875,-3.395802
9.5,26.0,-50.0,2.1,-4.021806
